sku,date,forecast_units,model
SKU-01,2024-12-31,104.3809374603083,Seasonal + Promo
SKU-01,2025-01-01,104.8465553036974,Seasonal + Promo
SKU-01,2025-01-02,112.14463222677433,Seasonal + Promo
SKU-01,2025-01-03,128.60617068831277,Seasonal + Promo
SKU-01,2025-01-04,151.56770914985125,Seasonal + Promo
SKU-01,2025-01-05,133.71849996828928,Seasonal + Promo
SKU-01,2025-01-06,108.2232618730512,Seasonal + Promo
SKU-01,2025-01-07,102.38256917500571,Seasonal + Promo
SKU-01,2025-01-08,104.90179994423649,Seasonal + Promo
SKU-01,2025-01-09,112.19987686731339,Seasonal + Promo
SKU-01,2025-01-10,128.66141532885186,Seasonal + Promo
SKU-01,2025-01-11,151.6229537903903,Seasonal + Promo
SKU-01,2025-01-12,133.77374460882837,Seasonal + Promo
SKU-01,2025-01-13,108.27850651359026,Seasonal + Promo
SKU-01,2025-01-14,102.4378138155448,Seasonal + Promo
SKU-01,2025-01-15,104.95704458477555,Seasonal + Promo
SKU-01,2025-01-16,112.25512150785248,Seasonal + Promo
SKU-01,2025-01-17,128.71665996939092,Seasonal + Promo
SKU-01,2025-01-18,151.6781984309294,Seasonal + Promo
SKU-01,2025-01-19,133.82898924936742,Seasonal + Promo
SKU-01,2025-01-20,108.33375115412935,Seasonal + Promo
SKU-01,2025-01-21,102.49305845608386,Seasonal + Promo
SKU-01,2025-01-22,105.01228922531463,Seasonal + Promo
SKU-01,2025-01-23,112.31036614839154,Seasonal + Promo
SKU-01,2025-01-24,128.77190460993,Seasonal + Promo
SKU-01,2025-01-25,151.73344307146846,Seasonal + Promo
SKU-01,2025-01-26,133.8842338899065,Seasonal + Promo
SKU-01,2025-01-27,108.3889957946684,Seasonal + Promo
SKU-01,2025-01-28,102.54830309662294,Seasonal + Promo
SKU-01,2025-01-29,105.06753386585369,Seasonal + Promo
SKU-02,2024-12-31,73.48764328486874,Seasonal + Promo
SKU-02,2025-01-01,78.20908908416857,Seasonal + Promo
SKU-02,2025-01-02,82.07447369955318,Seasonal + Promo
SKU-02,2025-01-03,93.21870446878394,Seasonal + Promo
SKU-02,2025-01-04,111.76678139186087,Seasonal + Promo
SKU-02,2025-01-05,98.26861862876282,Seasonal + Promo
SKU-02,2025-01-06,74.94480910495331,Seasonal + Promo
SKU-02,2025-01-07,70.87924707445599,Seasonal + Promo
SKU-02,2025-01-08,78.26386245907136,Seasonal + Promo
SKU-02,2025-01-09,82.12924707445598,Seasonal + Promo
SKU-02,2025-01-10,93.27347784368675,Seasonal + Promo
SKU-02,2025-01-11,111.82155476676368,Seasonal + Promo
SKU-02,2025-01-12,98.32339200366563,Seasonal + Promo
SKU-02,2025-01-13,74.9995824798561,Seasonal + Promo
SKU-02,2025-01-14,70.93402044935878,Seasonal + Promo
SKU-02,2025-01-15,78.31863583397417,Seasonal + Promo
SKU-02,2025-01-16,82.18402044935878,Seasonal + Promo
SKU-02,2025-01-17,93.32825121858956,Seasonal + Promo
SKU-02,2025-01-18,111.87632814166648,Seasonal + Promo
SKU-02,2025-01-19,98.37816537856843,Seasonal + Promo
SKU-02,2025-01-20,75.05435585475891,Seasonal + Promo
SKU-02,2025-01-21,70.98879382426159,Seasonal + Promo
SKU-02,2025-01-22,78.37340920887698,Seasonal + Promo
SKU-02,2025-01-23,82.23879382426158,Seasonal + Promo
SKU-02,2025-01-24,93.38302459349235,Seasonal + Promo
SKU-02,2025-01-25,111.93110151656929,Seasonal + Promo
SKU-02,2025-01-26,98.43293875347123,Seasonal + Promo
SKU-02,2025-01-27,75.10912922966172,Seasonal + Promo
SKU-02,2025-01-28,71.04356719916439,Seasonal + Promo
SKU-02,2025-01-29,78.42818258377977,Seasonal + Promo
SKU-03,2024-12-31,54.08376562578798,Seasonal + Promo
SKU-03,2025-01-01,50.73962237542894,Seasonal + Promo
SKU-03,2025-01-02,53.73962237542895,Seasonal + Promo
SKU-03,2025-01-03,63.6434685292751,Seasonal + Promo
SKU-03,2025-01-04,74.8261608369674,Seasonal + Promo
SKU-03,2025-01-05,66.94305889134034,Seasonal + Promo
SKU-03,2025-01-06,52.48591603419749,Seasonal + Promo
SKU-03,2025-01-07,50.93761262336895,Seasonal + Promo
SKU-03,2025-01-08,50.81261262336896,Seasonal + Promo
SKU-03,2025-01-09,53.81261262336896,Seasonal + Promo
SKU-03,2025-01-10,63.71645877721511,Seasonal + Promo
SKU-03,2025-01-11,74.89915108490742,Seasonal + Promo
SKU-03,2025-01-12,67.01604913928036,Seasonal + Promo
SKU-03,2025-01-13,52.5589062821375,Seasonal + Promo
SKU-03,2025-01-14,51.01060287130896,Seasonal + Promo
SKU-03,2025-01-15,50.885602871308976,Seasonal + Promo
SKU-03,2025-01-16,53.885602871308976,Seasonal + Promo
SKU-03,2025-01-17,63.78944902515512,Seasonal + Promo
SKU-03,2025-01-18,74.97214133284744,Seasonal + Promo
SKU-03,2025-01-19,67.08903938722037,Seasonal + Promo
SKU-03,2025-01-20,52.63189653007751,Seasonal + Promo
SKU-03,2025-01-21,51.08359311924899,Seasonal + Promo
SKU-03,2025-01-22,50.95859311924899,Seasonal + Promo
SKU-03,2025-01-23,53.95859311924899,Seasonal + Promo
SKU-03,2025-01-24,63.86243927309515,Seasonal + Promo
SKU-03,2025-01-25,75.04513158078746,Seasonal + Promo
SKU-03,2025-01-26,67.16202963516038,Seasonal + Promo
SKU-03,2025-01-27,52.704886778017524,Seasonal + Promo
SKU-03,2025-01-28,51.156583367189,Seasonal + Promo
SKU-03,2025-01-29,51.031583367189,Seasonal + Promo
SKU-04,2024-12-31,46.86740464785438,Linear Regression
