sku,category,service_level,model,avg_daily_demand,demand_std,annual_demand,eoq,eoq_orders_per_year,eoq_order_interval_days,lead_time_demand,lead_time_std,safety_stock,reorder_point,order_up_to_level,average_inventory,holding_cost,orders_per_year,ordering_cost,expected_shortage_per_cycle,expected_annual_shortage,stockout_cost,total_inventory_cost
SKU-01,Beverages,90%,Seasonal + Promo,119.25754465895771,23.01598560175816,43529.00380051957,1319.5302770383037,32.9882569259576,11.064543386431279,834.802812612704,60.894574081295396,77.9450548240581,912.7478674367621,1747.550680049466,495.3464611304101,2476.7323056520504,52.142857142857146,5214.285714285715,2.892403564708351,150.81818587407832,754.0909293703917,8445.108949308156
SKU-01,Beverages,95%,Seasonal + Promo,119.25754465895771,23.01598560175816,43529.00380051957,1319.5302770383037,32.9882569259576,11.064543386431279,834.802812612704,60.894574081295396,100.4760472341374,935.2788598468413,1770.0816724595454,517.8774535404893,2589.3872677024465,52.142857142857146,5214.285714285715,1.256681465888301,65.52696214988998,327.6348107494499,8131.307792737611
SKU-01,Beverages,99%,Seasonal + Promo,119.25754465895771,23.01598560175816,43529.00380051957,1319.5302770383037,32.9882569259576,11.064543386431279,834.802812612704,60.894574081295396,141.8843576094183,976.6871702221223,1811.4899828348262,559.2857639157703,2796.4288195788513,52.142857142857146,5214.285714285715,0.20413806475173163,10.644341947768865,53.221709738844325,8063.936243603411
SKU-02,Snacks,90%,Seasonal + Promo,86.38877338082405,16.326220635100725,31531.90228400078,1123.065488455607,28.076637211390175,13.000132361005335,604.7214136657683,43.195119650047516,55.289753152060825,660.0111668178291,1264.7325804835973,357.650459984945,1788.2522999247249,52.142857142857146,5214.285714285715,2.0517052617365708,106.98177436197834,534.9088718098917,7537.4468860203315
SKU-02,Snacks,95%,Seasonal + Promo,86.38877338082405,16.326220635100725,31531.90228400078,1123.065488455607,28.076637211390175,13.000132361005335,604.7214136657683,43.195119650047516,71.27194742257839,675.9933610883467,1280.714774754115,373.6326542554625,1868.1632712773126,52.142857142857146,5214.285714285715,0.8914177839321793,46.48107016217792,232.40535081088962,7314.854336373917
SKU-02,Snacks,99%,Seasonal + Promo,86.38877338082405,16.326220635100725,31531.90228400078,1123.065488455607,28.076637211390175,13.000132361005335,604.7214136657683,43.195119650047516,100.64462878461072,705.366042450379,1310.0874561161472,403.0053356174949,2015.0266780874745,52.142857142857146,5214.285714285715,0.1448038395064281,7.550485917120895,37.752429585604474,7267.064821958794
SKU-03,Household,90%,Seasonal + Promo,58.71475953568288,13.736832421331762,21430.88723052425,925.8701254608932,23.146753136522328,15.768950307941083,411.00331674978014,36.34424238861308,46.52063025742475,457.52394700720487,868.527263756985,252.02228863231483,1260.1114431615742,52.142857142857146,5214.285714285715,1.7262985713818888,90.0141397934842,450.07069896742104,6924.46785641471
SKU-03,Household,95%,Seasonal + Promo,58.71475953568288,13.736832421331762,21430.88723052425,925.8701254608932,23.146753136522328,15.768950307941083,411.00331674978014,36.34424238861308,59.96799994121158,470.9713166909917,881.9746334407719,265.46965831610163,1327.3482915805082,52.142857142857146,5214.285714285715,0.7500362140729899,39.109031162377335,195.54515581188667,6737.179161678109
SKU-03,Household,99%,Seasonal + Promo,58.71475953568288,13.736832421331762,21430.88723052425,925.8701254608932,23.146753136522328,15.768950307941083,411.00331674978014,36.34424238861308,84.68208476546849,495.6854015152486,906.6887182650288,290.18374314035856,1450.9187157017927,52.142857142857146,5214.285714285715,0.12183751045166188,6.35295590212237,31.764779510611852,6696.969209498119
SKU-04,Personal Care,90%,Linear Regression,58.008800001102294,9.52991128182986,21173.212000402338,920.2871725804362,23.007179314510903,15.864613171845457,406.06160000771604,25.213775268230584,32.27363234333515,438.3352323510512,844.3968323587673,235.30443234719317,1176.522161735966,52.142857142857146,5214.285714285715,1.1976175967373481,62.447203258447445,312.2360162922372,6703.043892313917
SKU-04,Personal Care,95%,Linear Regression,58.008800001102294,9.52991128182986,21173.212000402338,920.2871725804362,23.007179314510903,15.864613171845457,406.06160000771604,25.213775268230584,41.60272919258046,447.6643292002965,853.7259292080125,244.63352919643847,1223.1676459821924,52.142857142857146,5214.285714285715,0.5203367384154328,27.13184421737614,135.6592210868807,6573.112581354788
