date,sku,category,units_sold,promo
2023-01-01,SKU-01,Beverages,119,0
2023-01-02,SKU-01,Beverages,102,0
2023-01-03,SKU-01,Beverages,101,0
2023-01-04,SKU-01,Beverages,95,0
2023-01-05,SKU-01,Beverages,111,0
2023-01-06,SKU-01,Beverages,135,0
2023-01-07,SKU-01,Beverages,144,0
2023-01-08,SKU-01,Beverages,119,0
2023-01-09,SKU-01,Beverages,104,0
2023-01-10,SKU-01,Beverages,97,0
2023-01-11,SKU-01,Beverages,113,0
2023-01-12,SKU-01,Beverages,91,0
2023-01-13,SKU-01,Beverages,116,0
2023-01-14,SKU-01,Beverages,139,0
2023-01-15,SKU-01,Beverages,110,0
2023-01-16,SKU-01,Beverages,103,0
2023-01-17,SKU-01,Beverages,102,0
2023-01-18,SKU-01,Beverages,93,0
2023-01-19,SKU-01,Beverages,125,0
2023-01-20,SKU-01,Beverages,136,0
2023-01-21,SKU-01,Beverages,239,1
2023-01-22,SKU-01,Beverages,138,0
2023-01-23,SKU-01,Beverages,115,0
2023-01-24,SKU-01,Beverages,82,0
2023-01-25,SKU-01,Beverages,111,0
2023-01-26,SKU-01,Beverages,117,0
2023-01-27,SKU-01,Beverages,107,0
2023-01-28,SKU-01,Beverages,157,0
2023-01-29,SKU-01,Beverages,132,0
2023-01-30,SKU-01,Beverages,115,0
2023-01-31,SKU-01,Beverages,94,0
2023-02-01,SKU-01,Beverages,106,0
2023-02-02,SKU-01,Beverages,116,0
2023-02-03,SKU-01,Beverages,120,0
2023-02-04,SKU-01,Beverages,162,0
2023-02-05,SKU-01,Beverages,136,0
2023-02-06,SKU-01,Beverages,114,0
2023-02-07,SKU-01,Beverages,96,0
2023-02-08,SKU-01,Beverages,121,0
2023-02-09,SKU-01,Beverages,122,0
2023-02-10,SKU-01,Beverages,131,0
2023-02-11,SKU-01,Beverages,165,0
2023-02-12,SKU-01,Beverages,155,0
2023-02-13,SKU-01,Beverages,132,0
2023-02-14,SKU-01,Beverages,86,0
2023-02-15,SKU-01,Beverages,121,0
2023-02-16,SKU-01,Beverages,123,0
2023-02-17,SKU-01,Beverages,134,0
2023-02-18,SKU-01,Beverages,148,0
2023-02-19,SKU-01,Beverages,157,0
2023-02-20,SKU-01,Beverages,97,0
2023-02-21,SKU-01,Beverages,169,1
2023-02-22,SKU-01,Beverages,129,0
2023-02-23,SKU-01,Beverages,100,0
2023-02-24,SKU-01,Beverages,134,0
2023-02-25,SKU-01,Beverages,147,0
2023-02-26,SKU-01,Beverages,148,0
2023-02-27,SKU-01,Beverages,133,0
2023-02-28,SKU-01,Beverages,134,0
2023-03-01,SKU-01,Beverages,94,0
2023-03-02,SKU-01,Beverages,115,0
2023-03-03,SKU-01,Beverages,149,0
2023-03-04,SKU-01,Beverages,184,0
2023-03-05,SKU-01,Beverages,152,0
2023-03-06,SKU-01,Beverages,109,0
2023-03-07,SKU-01,Beverages,115,0
2023-03-08,SKU-01,Beverages,118,0
2023-03-09,SKU-01,Beverages,122,0
2023-03-10,SKU-01,Beverages,134,0
2023-03-11,SKU-01,Beverages,172,0
2023-03-12,SKU-01,Beverages,153,0
2023-03-13,SKU-01,Beverages,119,0
